FileName;Duration;Format;Channels;Library;Description;Originator;Note;Category;Reference
COMStatic_Interference Tone 002_VZ_GN.wav;0:08;48 24;2;Glitch Noises/Intercom;Glitchy white noise, screeching static, interference, tonal, looping;Vladislav Zharkov;;COMMUNICATIONS / STATIC;vladislavzh.net
COMStatic_Interference Tone 003_VZ_GN.wav;0:10;48 24;2;Glitch Noises/Intercom;Glitchy white noise, screeching static, interference, tonal, looping;Vladislav Zharkov;;COMMUNICATIONS / STATIC;vladislavzh.net
COMStatic_Interference Tone 004_VZ_GN.wav;0:15;48 24;2;Glitch Noises/Intercom;Glitchy white noise, screeching static, interference, tonal, looping;Vladislav Zharkov;;COMMUNICATIONS / STATIC;vladislavzh.net
COMStatic_Interference Tone 005_VZ_GN.wav;0:10;48 24;2;Glitch Noises/Intercom;Glitchy white noise, screeching static, interference, tonal, looping;Vladislav Zharkov;;COMMUNICATIONS / STATIC;vladislavzh.net
COMTelm_Telemetry 001_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry 002_VZ_GN.wav;0:06;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry 003_VZ_GN.wav;0:10;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry 004_VZ_GN.wav;0:02;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry 005_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry 006_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry 007_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, looping, tonal;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry 008_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry 009_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, tonal, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry 010_VZ_GN.wav;0:02;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry 011_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry 012_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, tonal, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry 013_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, tonal, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry 014_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, tonal, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry 015_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry 016_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, tonal, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry 017_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry 018_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry 019_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, tonal, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry 020_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Broken 001_VZ_GN.wav;0:17;48 24;2;Glitch Noises/Telemetry;Glitchy telemetry, broken computer readout, corrupted data, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Broken 002_VZ_GN.wav;0:06;48 24;2;Glitch Noises/Telemetry;Glitchy telemetry, broken computer readout, corrupted data, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Broken 003_VZ_GN.wav;0:10;48 24;2;Glitch Noises/Telemetry;Glitchy telemetry, broken computer readout, corrupted data, tonal, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Broken 004_VZ_GN.wav;0:04;48 24;2;Glitch Noises/Telemetry;Glitchy telemetry, broken computer readout, corrupted data, tonal, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Broken 005_VZ_GN.wav;0:09;48 24;2;Glitch Noises/Telemetry;Glitchy telemetry, broken computer readout, corrupted data, tonal, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Broken 006_VZ_GN.wav;0:06;48 24;2;Glitch Noises/Telemetry;Glitchy telemetry, broken computer readout, corrupted data, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Broken 007_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Glitchy telemetry, broken computer readout, corrupted data, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Broken 008_VZ_GN.wav;0:06;48 24;2;Glitch Noises/Telemetry;Glitchy telemetry, broken computer readout, corrupted data, tonal, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Broken 009_VZ_GN.wav;0:05;48 24;2;Glitch Noises/Telemetry;Glitchy telemetry, broken computer readout, corrupted data, tonal, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Broken 010_VZ_GN.wav;0:04;48 24;2;Glitch Noises/Telemetry;Glitchy telemetry, broken computer readout, corrupted data, tonal, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Broken 011_VZ_GN.wav;0:05;48 24;2;Glitch Noises/Telemetry;Glitchy telemetry, broken computer readout, corrupted data, tonal, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Broken 012_VZ_GN.wav;0:06;48 24;2;Glitch Noises/Telemetry;Glitchy telemetry, broken computer readout, corrupted data, tonal, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Broken 013_VZ_GN.wav;0:07;48 24;2;Glitch Noises/Telemetry;Glitchy telemetry, broken computer readout, corrupted data, tonal, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Broken 014_VZ_GN.wav;0:02;48 24;2;Glitch Noises/Telemetry;Glitchy telemetry, broken computer readout, corrupted data, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Broken 015_VZ_GN.wav;0:04;48 24;2;Glitch Noises/Telemetry;Glitchy telemetry, broken computer readout, corrupted data, looping;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Short 001_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, data reading;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Short 002_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, data reading;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Short 003_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, data reading;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Short 004_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, data reading;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Short 005_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, data reading;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Short 006_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, data reading;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Short 007_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, data reading;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Short 008_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, data reading;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Short 009_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, data reading;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTelm_Telemetry Short 010_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Telemetry;Telemetry, computer readout, data reading;Vladislav Zharkov;;COMMUNICATIONS / TELEMETRY;vladislavzh.net
COMTran_Intercom In 001_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Intercom;Intercom on, walkie-talkie squelch, short abrupt static burst;Vladislav Zharkov;;COMMUNICATIONS / TRANSCEIVER;vladislavzh.net
COMTran_Intercom In 002_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Intercom;Intercom on, walkie-talkie squelch, short abrupt static burst;Vladislav Zharkov;;COMMUNICATIONS / TRANSCEIVER;vladislavzh.net
COMTran_Intercom In 003_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Intercom;Intercom on, walkie-talkie squelch, short abrupt static burst;Vladislav Zharkov;;COMMUNICATIONS / TRANSCEIVER;vladislavzh.net
COMTran_Intercom In 004_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Intercom;Intercom on, walkie-talkie squelch, short abrupt static burst;Vladislav Zharkov;;COMMUNICATIONS / TRANSCEIVER;vladislavzh.net
COMTran_Intercom In 005_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Intercom;Intercom on, walkie-talkie squelch, short abrupt static burst;Vladislav Zharkov;;COMMUNICATIONS / TRANSCEIVER;vladislavzh.net
COMTran_Intercom Out 001_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Intercom;Intercom off, walkie-talkie squelch, short static burst;Vladislav Zharkov;;COMMUNICATIONS / TRANSCEIVER;vladislavzh.net
COMTran_Intercom Out 002_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Intercom;Intercom off, walkie-talkie squelch, short static burst;Vladislav Zharkov;;COMMUNICATIONS / TRANSCEIVER;vladislavzh.net
COMTran_Intercom Out 003_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Intercom;Intercom off, walkie-talkie squelch, short static burst;Vladislav Zharkov;;COMMUNICATIONS / TRANSCEIVER;vladislavzh.net
COMTran_Intercom Out 004_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Intercom;Intercom off, walkie-talkie squelch, short static burst;Vladislav Zharkov;;COMMUNICATIONS / TRANSCEIVER;vladislavzh.net
COMTran_Intercom Out 005_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Intercom;Intercom off, walkie-talkie squelch, short static burst;Vladislav Zharkov;;COMMUNICATIONS / TRANSCEIVER;vladislavzh.net
COMTran_Intercom Out 006_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Intercom;Intercom off, walkie-talkie squelch, short static burst;Vladislav Zharkov;;COMMUNICATIONS / TRANSCEIVER;vladislavzh.net
COMTran_Intercom Out 007_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Intercom;Intercom off, walkie-talkie squelch, short static burst;Vladislav Zharkov;;COMMUNICATIONS / TRANSCEIVER;vladislavzh.net
COMTran_Intercom Out 008_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Intercom;Intercom off, walkie-talkie squelch, short static burst;Vladislav Zharkov;;COMMUNICATIONS / TRANSCEIVER;vladislavzh.net
COMTran_Intercom Out 009_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Intercom;Intercom off, walkie-talkie squelch, short static burst;Vladislav Zharkov;;COMMUNICATIONS / TRANSCEIVER;vladislavzh.net
COMTran_Intercom Out 010_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Intercom;Intercom off, walkie-talkie squelch, short static burst;Vladislav Zharkov;;COMMUNICATIONS / TRANSCEIVER;vladislavzh.net
COMTran_Intercom Out 011_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Intercom;Intercom off, walkie-talkie squelch, short static burst;Vladislav Zharkov;;COMMUNICATIONS / TRANSCEIVER;vladislavzh.net
